"id","key","value"
629,sport,windsurfing
642,healthcare,pharmacy
644,amenity,religious
645,amenity,social_facility
648,office,estate_agent
649,office,tax_advisor
650,shop,gifts
651,shop,miscellaneous
652,shop,pharmacy
654,sport,dancing_school
630,healthcare,alternative
634,healthcare,blood_donation
635,healthcare,centre
636,healthcare,clinic
639,healthcare,hospice
646,healthcare,dentist
657,healthcare:speciality,vaccination
656,healthcare,optometrist
658,amenity,marketplace
589,sport,pesaepallo
659,amenity,playground
660,leisure,tanning_salon
661,healthcare,general
662,healthcare:speciality,osteopathy
